,filename,digit
0,a00000.png,5
1,a00001.png,3
2,a00002.png,1
3,a00003.png,7
4,a00004.png,0
5,a00005.png,4
6,a00006.png,3
7,a00007.png,0
8,a00008.png,4
9,a00009.png,9
10,a00010.png,7
11,a00011.png,3
12,a00012.png,5
13,a00013.png,8
14,a00014.png,1
15,a00015.png,2
16,a00016.png,1
17,a00017.png,6
18,a00018.png,4
19,a00019.png,0
20,a00020.png,1
21,a00021.png,9
22,a00022.png,6
23,a00023.png,5
24,a00024.png,7
25,a00025.png,7
26,a00026.png,7
27,a00027.png,6
28,a00028.png,5
29,a00029.png,8
30,a00030.png,9
31,a00031.png,7
32,a00032.png,2
33,a00033.png,3
34,a00034.png,1
35,a00035.png,6
36,a00036.png,9
37,a00037.png,7
38,a00038.png,0
39,a00039.png,4
40,a00040.png,9
41,a00041.png,5
42,a00042.png,1
43,a00043.png,8
44,a00044.png,1
45,a00045.png,1
46,a00046.png,4
47,a00047.png,7
48,a00048.png,5
49,a00049.png,1
50,a00050.png,1
51,a00051.png,0
52,a00052.png,3
53,a00053.png,7
54,a00054.png,9
55,a00055.png,6
56,a00056.png,6
57,a00057.png,9
58,a00058.png,3
59,a00059.png,2
60,a00060.png,3
61,a00061.png,7
62,a00062.png,5
63,a00063.png,7
64,a00064.png,2
65,a00065.png,5
66,a00066.png,5
67,a00067.png,1
68,a00068.png,1
69,a00069.png,2
70,a00070.png,3
71,a00071.png,2
72,a00072.png,4
73,a00073.png,5
74,a00074.png,1
75,a00075.png,2
76,a00076.png,5
77,a00077.png,4
78,a00078.png,8
79,a00079.png,0
80,a00080.png,4
81,a00081.png,7
82,a00082.png,4
83,a00083.png,8
84,a00084.png,7
85,a00085.png,8
86,a00086.png,0
87,a00087.png,5
88,a00088.png,4
89,a00089.png,0
90,a00090.png,4
91,a00091.png,3
92,a00092.png,1
93,a00093.png,2
94,a00094.png,6
95,a00095.png,6
96,a00096.png,8
97,a00097.png,5
98,a00098.png,6
99,a00099.png,1
100,a00100.png,4
101,a00101.png,6
102,a00102.png,3
103,a00103.png,3
104,a00104.png,7
105,a00105.png,8
106,a00106.png,7
107,a00107.png,7
108,a00108.png,6
109,a00109.png,4
110,a00110.png,3
111,a00111.png,2
112,a00112.png,9
113,a00113.png,8
114,a00114.png,8
115,a00115.png,8
116,a00116.png,1
117,a00117.png,6
118,a00118.png,8
119,a00119.png,9
120,a00120.png,7
121,a00121.png,9
122,a00122.png,8
123,a00123.png,2
124,a00124.png,8
125,a00125.png,1
126,a00126.png,9
127,a00127.png,0
128,a00128.png,5
129,a00129.png,6
130,a00130.png,6
131,a00131.png,0
132,a00132.png,6
133,a00133.png,4
134,a00134.png,3
135,a00135.png,3
136,a00136.png,9
137,a00137.png,1
138,a00138.png,5
139,a00139.png,4
140,a00140.png,5
141,a00141.png,3
142,a00142.png,2
143,a00143.png,5
144,a00144.png,3
145,a00145.png,7
146,a00146.png,2
147,a00147.png,8
148,a00148.png,0
149,a00149.png,3
150,a00150.png,7
151,a00151.png,8
152,a00152.png,2
153,a00153.png,0
154,a00154.png,0
155,a00155.png,8
156,a00156.png,9
